Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50223751 - LIB COMM ENGAGE ADULT CENTRAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,3.89,0.00,0.00,0.00
44 -  STREETS,44551 - ST STONE,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,3.89,83.46,41.93,177.09
44 -  STREETS,44551 - ST STONE,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.00,0.00,0.00,20.50
44 -  STREETS,44441 - ST HAND SWEEPING,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.00,0.00,1.50,15.00
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,4.05,29.93,20.50,0.00
45 -  TRAFFIC ENGINEERING,45800 - TE BICYCLE AND PEDESTRIAN SVCS,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,4.05,70.87,20.50,0.00
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.15,0.00,553.94,57.32
40 -  ENGINEERING,40115 - ENG ADMIN PRIVATE DEVELOPMENT,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.16,0.00,0.00,711.74
60 -  BUILDING INSPECTION,60300 - BI ZONING AND SIGNS,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.20,12.88,38.84,1.50
45 -  TRAFFIC ENGINEERING,45667 - TE SERVICES GEOMETRICS,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.38,0.00,2.82,16.52
31 -  POLICE,31169 - RECRUITMENT AND HIRING,Expense,52 - BENEFITS,52420 - HEALTH INSURANCE RETIREE,4.40,9.48,29.63,22.69
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,4.47,10.06,11.65,9.57
15 -  FINANCE,15110 - FIN ACCOUNTING PAYROLL,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS,4.58,25.00,508.00,597.09
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,4.59,0.00,0.00,0.00
40 -  ENGINEERING,40361 - ENG FAC MGMT GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4.67,29.24,60.59,38.91
45 -  TRAFFIC ENGINEERING,45660 - TE SERVICES TRAFFIC STUDIES,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.73,6.24,14.73,13.82
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,53 - SUPPLIES,53130 - FURNITURE,4.79,0.00,0.00,0.00
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,51 - SALARIES,51120 - PREMIUM PAY,4.94,32.41,23.70,20.07
40 -  ENGINEERING,40140 - ENG ENV ENG ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4.97,43.02,23.54,0.00
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,53 - SUPPLIES,53215 - JANITORIAL SUPPLIES,4.98,0.00,0.00,11.37
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4.99,510.13,40.50,168.03
44 -  STREETS,44301 - ST SNOW AND ICE ADMIN,Expense,54 - PURCHASED SERVICES,54540 - UNIFORM LAUNDRY,5.00,0.00,0.00,0.00
44 -  STREETS,44224 - ST BRUSH PROCESSING,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,5.31,0.00,2.92,0.00
44 -  STREETS,44332 - ST SNOW REMOVAL CROSSWALK,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,5.31,0.00,2.92,0.00
44 -  STREETS,44551 - ST STONE,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,5.31,0.00,2.92,0.00
31 -  POLICE,31200 - POLICE SUPPORT,Expense,53 - SUPPLIES,53420 - GASOLINE,5.62,0.00,0.00,0.00
50 -  LIBRARY,50400753 - LIB FACILITIES ASHMAN,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,5.64,6.02,6.00,6.00
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,5.64,6.02,6.05,6.00
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,5.69,6.02,6.00,6.00
40 -  ENGINEERING,40131 - ENG SIDEWALKS GENERAL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,5.72,11.14,0.22,36.96
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,5.76,0.00,0.00,0.00
50 -  LIBRARY,50400756 - LIB FACILITIES MONROE,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,5.76,6.02,6.00,6.15
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,5.91,1071.11,436.86,2032.65
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,5.94,0.35,0.06,0.06
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES,5.99,94.78,0.00,44046.62
44 -  STREETS,44440 - ST STREET SWEEPING,Expense,51 - SALARIES,51120 - PREMIUM PAY,6.00,8.00,0.00,42.00
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES,6.00,36.00,36.00,36.00
44 -  STREETS,44662 - ST GRAFFITI REMOVALS,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,6.04,5.64,13.31,10.91
44 -  STREETS,44333 - ST SNOW SAND BARRELS,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,6.08,5.61,13.32,10.85
44 -  STREETS,44660 - ST WEED CONTROL,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,6.08,5.61,13.32,10.85
45 -  TRAFFIC ENGINEERING,45662 - TE SERVICES COMPUTERIZED MAP,Expense,51 - SALARIES,51120 - PREMIUM PAY,6.25,0.00,0.00,0.00
50 -  LIBRARY,50221758 - LIB COMM ENGAGE YOUTH SEQ,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,6.26,0.00,0.00,0.00
40 -  ENGINEERING,40131 - ENG SIDEWALKS GENERAL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,6.37,12.84,0.25,40.05
40 -  ENGINEERING,40130 - ENG SIDEWALKS ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,6.41,0.00,0.00,0.00
30 -  FIRE,30133 - FIRE APPLICANT PROMOTION,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,6.50,0.00,0.00,0.00
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,6.51,0.00,0.00,0.00
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,6.60,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,6.61,1202.89,496.45,2270.97
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,6.75,139.55,202.71,59.20
50 -  LIBRARY,50221752 - LIB COMM ENGAGE YOUTH HAW,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,6.87,0.00,0.00,0.00
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,51 - SALARIES,51120 - PREMIUM PAY,7.01,9.13,6.75,0.00
65 -  PLANNING,65225 - PL RESEARCH INFORMATION SERVIC,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE,7.13,0.00,0.00,0.00
14 -  COMMON COUNCIL,14100602 - COMMON COUNCIL DIST 2,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS,7.50,37.28,5.00,0.00
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,54 - PURCHASED SERVICES,54540 - UNIFORM LAUNDRY,7.55,0.00,0.00,0.00
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,54 - PURCHASED SERVICES,54540 - UNIFORM LAUNDRY,7.55,1420.20,0.00,0.00
45 -  TRAFFIC ENGINEERING,45405 - TE COMM MAINTENANCE,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,7.62,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45205 - TE STLIGHT MAINTENANCE,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,7.62,87.81,0.00,0.00
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,7.62,106.55,0.00,0.00
50 -  LIBRARY,50100759 - LIB PUBLIC SERVICE SMB,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,7.77,65.47,286.44,751.19
30 -  FIRE,30130 - FIRE APPLICANT RECRUITMENT,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,7.78,32.55,0.00,0.00
14 -  COMMON COUNCIL,14100602 - COMMON COUNCIL DIST 2,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,7.95,0.00,0.00,0.00
44 -  STREETS,44223 - ST BRUSH COLLECTION,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,7.98,0.00,4.38,0.00
44 -  STREETS,44661 - ST STUMP REMOVALS,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,7.98,573.00,4.38,0.00
45 -  TRAFFIC ENGINEERING,45882 - TE PED BIKE PATH LIGHTING,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,8.01,1.61,0.83,0.00
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,8.07,0.00,0.00,0.00
40 -  ENGINEERING,40132 - ENG SIDEWALKS DESIGN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,8.11,2.97,0.00,0.85
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,8.11,59.94,-751.56,0.00
45 -  TRAFFIC ENGINEERING,45600 - TE SERVICES,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,8.11,241.32,106.24,41.98
40 -  ENGINEERING,40130 - ENG SIDEWALKS ADMIN,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,8.50,0.00,0.00,0.00
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,8.54,34.43,34.95,26.43
45 -  TRAFFIC ENGINEERING,45403 - TE COMM DESIGN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,8.67,0.00,0.00,0.00
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,8.73,0.00,401.38,30.43
40 -  ENGINEERING,40144 - ENG ENV ENG STORAGE TANKS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,8.98,0.00,0.00,0.00
65 -  PLANNING,65112 - PL MADISON ARTS PROGRAM,Expense,53 - SUPPLIES,53150 - POSTAGE,9.00,0.00,0.00,13.35
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,9.17,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,51 - SALARIES,51120 - PREMIUM PAY,9.26,9.50,0.00,2349.41
40 -  ENGINEERING,40362 - ENG FAC MGMT DESIGN CONSTRUCT,Expense,51 - SALARIES,51120 - PREMIUM PAY,9.32,0.00,0.00,0.00
40 -  ENGINEERING,40250 - ENG MAPPING ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,9.33,105.28,0.00,64.38
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,9.40,1924.50,191.65,0.00
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,9.55,15552.60,46180.77,1065.85
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,53 - SUPPLIES,53130 - FURNITURE,9.60,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45403 - TE COMM DESIGN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,9.71,0.00,0.00,0.00
50 -  LIBRARY,50300759 - LIB COL RES & ACCESS SMB,Expense,53 - SUPPLIES,53150 - POSTAGE,9.80,0.00,0.00,0.00
64 -  PCED OFFICE OF DIRECTOR,64100 - PCED ADMIN AND SUPPORT,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,9.99,480.49,6.71,21418.23
14 -  COMMON COUNCIL,14100615 - COMMON COUNCIL DIST 15,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,10.00,0.00,0.00,6.25
50 -  LIBRARY,50100758 - LIB PUBLIC SERVICE SEQUOYA,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,10.00,0.00,404.15,221.97
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,10.00,10.00,0.00,0.00
40 -  ENGINEERING,40252 - ENG MAPPING OFFICIAL MAP,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,10.20,81.53,0.00,0.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,10.40,3781.18,214.50,60.00
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,10.44,2111.89,0.00,0.00
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,10.50,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45668 - TE SERVICES MUFN MAINTENANCE,Expense,51 - SALARIES,51120 - PREMIUM PAY,10.50,14.01,16.50,77.14
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,10.62,0.00,5.84,0.00
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,10.62,0.00,5.84,0.00
31 -  POLICE,31290 - FINANCE,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,10.69,0.00,0.00,0.00
40 -  ENGINEERING,40145 - ENG STREETS DUTCH MILL PNR MNT,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,11.03,17.60,5.38,9.05
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS,11.25,0.00,42.25,0.00
30 -  FIRE,30112 - FIRE FITNESS WELLNESS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,11.44,237.36,262.50,288.58
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,11.49,0.00,210.86,322.92
44 -  STREETS,44662 - ST GRAFFITI REMOVALS,Expense,51 - SALARIES,51120 - PREMIUM PAY,11.58,2.04,0.07,5.28
40 -  ENGINEERING,40131 - ENG SIDEWALKS GENERAL,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,11.89,0.00,5057.71,0.00
62 -  COMMUNITY DEVELOPMENT,62330 - STRONG HEALTHY NBRHOODS GEN GF,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,11.94,2.99,0.00,0.00
50 -  LIBRARY,50223754 - LIB COMM ENGAGE ADULT LAKEVIEW,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES,11.97,186.99,1747.27,1524.76
62 -  COMMUNITY DEVELOPMENT,62446 - CHILDREN AND FAMILIES,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,12.00,12.00,36.00,32.00
62 -  COMMUNITY DEVELOPMENT,62331 - NBRHD CTRS AND CMTY GARDENS GF,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,12.00,24.00,72.00,74.00
30 -  FIRE,30280 - FIRE COMMUNITY OUTREACH & EDUC,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,12.08,0.00,43.70,0.00
44 -  STREETS,44224 - ST BRUSH PROCESSING,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,12.15,11.26,26.63,21.71
44 -  STREETS,44332 - ST SNOW REMOVAL CROSSWALK,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,12.15,11.26,26.63,21.71
44 -  STREETS,44551 - ST STONE,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,12.15,11.26,26.63,21.71
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,12.18,49.05,96.75,0.00
14 -  COMMON COUNCIL,14100617 - COMMON COUNCIL DIST 17,Expense,54 - PURCHASED SERVICES,54633 - DELIVERY FREIGHT CHARGES,12.50,0.00,0.00,0.00
40 -  ENGINEERING,40112 - ENG ADMIN SERVICE BUILDING MTC,Expense,54 - PURCHASED SERVICES,54860 - TAXES AND SPECIAL ASSESSMENTS,12.60,25.20,39.28,40.56
31 -  POLICE,31200 - POLICE SUPPORT,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,12.65,90.61,6768.48,1642.29
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,51 - SALARIES,51110 - PERMANENT WAGES,12.81,0.00,0.00,34761.21
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,12.91,6.54,9.47,223.61
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES,13.09,4148.85,211.00,0.00
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,13.11,0.00,554.27,0.00
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,13.29,0.00,7.30,0.00
45 -  TRAFFIC ENGINEERING,45800 - TE BICYCLE AND PEDESTRIAN SVCS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,13.50,16.97,2.83,1.48
40 -  ENGINEERING,40136 - ENG SIDEWALKS TERRACE PERMIT,Expense,51 - SALARIES,51120 - PREMIUM PAY,13.75,0.00,0.00,0.00
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,13.76,40.74,255.71,22.93
60 -  BUILDING INSPECTION,60300 - BI ZONING AND SIGNS,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES,14.00,0.00,0.00,0.00
14 -  COMMON COUNCIL,14100601 - COMMON COUNCIL DIST 1,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,14.00,12.24,1701.90,1515.88
50 -  LIBRARY,50300753 - LIB COL RES & ACCESS ASHMAN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,14.23,0.00,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62223 - ADULT WKFORCE PREPAREDNESS GF,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,14.65,3.18,104.65,89.21
45 -  TRAFFIC ENGINEERING,45666 - TE SERVICES STREET OPENING PER,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,14.81,139.14,240.46,302.01
50 -  LIBRARY,50100759 - LIB PUBLIC SERVICE SMB,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES,14.84,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45402 - TE COMM PLAN AND REVIEW,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,14.90,1331.36,3287.51,4802.79
50 -  LIBRARY,50300757 - LIB COL RES & ACCESS PINNEY,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,14.92,0.00,0.00,0.00
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,53 - SUPPLIES,53320 - ELECTRICAL SUPPLIES,15.00,0.00,293.55,1267.68
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES,15.23,41.73,0.00,21.63
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,15.34,3418.92,3155.96,5005.35
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,15.40,23.64,71.73,97.75
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,15.40,181.71,250.98,188.84
40 -  ENGINEERING,40134 - ENG SIDEWALKS SURVEY,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,15.58,0.00,0.00,138.47
44 -  STREETS,44550 - ST BLACKTOP,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES,15.67,314.15,3337.98,4442.16
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,15.92,21.24,243.48,529.16
45 -  TRAFFIC ENGINEERING,45402 - TE COMM PLAN AND REVIEW,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,16.09,1463.62,3588.48,5283.45
15 -  FINANCE,15230 - FIN INTERNAL AUDIT,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,16.22,196.63,43.76,0.00
62 -  COMMUNITY DEVELOPMENT,62220 - ECON DEV EMPLOYMT OPPS GEN GF,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,16.29,0.00,0.00,0.00
50 -  LIBRARY,50300757 - LIB COL RES & ACCESS PINNEY,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,16.58,0.00,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62332 - CAP IMPRVMTS FOR CMTY ORGS GF,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,16.82,0.29,5.56,4.02
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,17.12,68.87,69.90,52.89
40 -  ENGINEERING,40112 - ENG ADMIN SERVICE BUILDING MTC,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,17.14,262.73,104.61,53.78
31 -  POLICE,31297 - HONOR GUARD,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,17.35,0.00,0.00,0.00
40 -  ENGINEERING,40141 - ENG ENV ENG GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,17.79,0.00,16.20,0.00
51 -  PARKS,51110 - PARK COM REC ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,17.98,979.67,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62220 - ECON DEV EMPLOYMT OPPS GEN GF,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,18.06,0.00,0.00,0.00
40 -  ENGINEERING,40128 - ENG STREETS BRIDGE INSPECTION,Expense,51 - SALARIES,51120 - PREMIUM PAY,18.25,7.13,13.97,0.00
44 -  STREETS,44223 - ST BRUSH COLLECTION,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,18.26,16.85,39.92,32.56
44 -  STREETS,44661 - ST STUMP REMOVALS,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,18.26,16.85,39.92,32.56
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,18.35,0.00,0.00,0.00
44 -  STREETS,44301 - ST SNOW AND ICE ADMIN,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,18.35,0.00,0.00,0.00
50 -  LIBRARY,50400755 - LIB FACILITIES MEADOWRIDGE,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES,18.48,0.00,1382.40,96.90
45 -  TRAFFIC ENGINEERING,45668 - TE SERVICES MUFN MAINTENANCE,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,18.49,109.12,50.62,98.38
50 -  LIBRARY,50100753 - LIB PUBLIC SERVICE ASHMAN,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES,18.93,0.00,0.00,0.00
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,18.98,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45101 - TE SIGNING ADMIN,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,19.00,116.58,0.00,0.00
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,19.10,0.00,0.00,0.00
65 -  PLANNING,65110 - PL NEIGHBORHOOD PLANNING,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE,19.12,146.11,494.34,107.65
40 -  ENGINEERING,40112 - ENG ADMIN SERVICE BUILDING MTC,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,19.17,299.99,117.92,58.73
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,53 - SUPPLIES,53130 - FURNITURE,19.20,0.00,0.00,0.00
44 -  STREETS,44301 - ST SNOW AND ICE ADMIN,Expense,53 - SUPPLIES,53130 - FURNITURE,19.20,0.00,0.00,0.00
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,19.24,-11.33,70.70,0.00
30 -  FIRE,30114 - FIRE HAZARDOUS INCIDENT TEAM,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,19.29,0.00,388.00,0.00
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS,19.37,0.00,0.00,0.00
63 -  ECONOMIC DEVELOPMENT,63331 - EDD RE LEASES LICENSES,Expense,54 - PURCHASED SERVICES,54113 - WATER,19.37,0.00,0.00,0.00
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Expense,53 - SUPPLIES,53150 - POSTAGE,19.60,0.00,0.00,0.00
