Organization,Agency,Service,Subservice,Location
40136 - ENG SIDEWALKS TERRACE PERMIT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4036 -  SIDEWALKS  TERRACE PERMIT,0000 -  UNDEFINED
40137 - ENG SIDEWALKS MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4037 -  SIDEWALKS MAINTENANCE,0000 -  UNDEFINED
40138 - ENG SIDEWALKS PATH MAINT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4038 -  SIDEWALKS PATH MAINTENANCE,0000 -  UNDEFINED
40139 - ENG MEDIAN MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4039 -  MEDIAN MAINTENANCE,0000 -  UNDEFINED
40140 - ENG ENV ENG ADMIN,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4040 -  ENV ENG  ADMIN,0000 -  UNDEFINED
40141 - ENG ENV ENG GENERAL,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4041 -  ENV ENG  GENERAL,0000 -  UNDEFINED
40142 - ENG ENV ENG SITE ASSESSMENTS,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4042 -  ENV ENG  SITE ASSESSMENTS,0000 -  UNDEFINED
40143 - ENG ENV ENG QUARRIES,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4043 -  ENV ENG  QUARRIES NONMETALLIC,0000 -  UNDEFINED
40144 - ENG ENV ENG STORAGE TANKS,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4044 -  ENV ENG  STORAGE TANKS,0000 -  UNDEFINED
40145 - ENG STREETS DUTCH MILL PNR MNT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4045 -  STREETS DUTCH MILL,0000 -  UNDEFINED
40180 - ENG SIREN MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4080 -  STORM SIREN MAINTENANCE,0000 -  UNDEFINED
40211 - ENG MAP EMPLOYEE LEAVE,40 -  ENGINEERING,402 -  MAPPING AND RECORDS,4011 -  ADMIN  EMPLOYEE LEAVE,0000 -  UNDEFINED
40250 - ENG MAPPING ADMIN,40 -  ENGINEERING,402 -  MAPPING AND RECORDS,4050 -  MAPPING  ADMIN,0000 -  UNDEFINED
40251 - ENG MAPPING GENERAL,40 -  ENGINEERING,402 -  MAPPING AND RECORDS,4051 -  MAPPING  GENERAL,0000 -  UNDEFINED
40252 - ENG MAPPING OFFICIAL MAP,40 -  ENGINEERING,402 -  MAPPING AND RECORDS,4052 -  MAPPING  OFFICIAL MAP,0000 -  UNDEFINED
40253 - ENG MAPPING PLAT REVIEW,40 -  ENGINEERING,402 -  MAPPING AND RECORDS,4053 -  MAPPING  PLAT REVIEW,0000 -  UNDEFINED
40311 - ENG FAC MGMT EMP LEAVE,40 -  ENGINEERING,403 -  FACILITIES MANAGEMENT,4011 -  ADMIN  EMPLOYEE LEAVE,0000 -  UNDEFINED
40360 - ENG FAC MGMT ADMIN,40 -  ENGINEERING,403 -  FACILITIES MANAGEMENT,4060 -  FAC MGMT  ADMIN,0000 -  UNDEFINED
40361 - ENG FAC MGMT GENERAL,40 -  ENGINEERING,403 -  FACILITIES MANAGEMENT,4061 -  FAC MGMT  GENERAL,0000 -  UNDEFINED
40362 - ENG FAC MGMT DESIGN CONSTRUCT,40 -  ENGINEERING,403 -  FACILITIES MANAGEMENT,4062 -  FAC MGMT  DESIGN & CONSTRUCTIO,0000 -  UNDEFINED
40365 - ENG FAC MGMT ENERGY EFF SUSTAI,40 -  ENGINEERING,403 -  FACILITIES MANAGEMENT,4065 -  FAC MGMT ENERGY EFF/SUSTAIN,0000 -  UNDEFINED
40411 - ENG FAC MAINT EMP LEAVE,40 -  ENGINEERING,404 -  FACILITIES OPERATIONS & MAINTE,4011 -  ADMIN  EMPLOYEE LEAVE,0000 -  UNDEFINED
40470 - ENG FAC MAINT ADMIN,40 -  ENGINEERING,404 -  FACILITIES OPERATIONS & MAINTE,4070 -  FAC MAINT ADMIN,0000 -  UNDEFINED
40471 - ENG FAC MAINT BUILDING MAINT,40 -  ENGINEERING,404 -  FACILITIES OPERATIONS & MAINTE,4071 -  FAC MAINT BUILDING MAINTNCE,0000 -  UNDEFINED
40472 - ENG FAC MAINT CUSTODIAL SVCS,40 -  ENGINEERING,404 -  FACILITIES OPERATIONS & MAINTE,4072 -  FAC MAINT CUSTODIAL SVCS,0000 -  UNDEFINED
43100 - TRANSPORTATION MANAGEMENT,43 -  TRANSPORTATION,431 -  TRANSPORTATION MANAGEMENT,0000 -  UNDEFINED,0000 -  UNDEFINED
44101 - ST SOLID WASTE ADMIN,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4401 -  ADMINISTRATION,0000 -  UNDEFINED
44101520 - ST SOLID WASTE ADMIN SYC,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4401 -  ADMINISTRATION,0520 -  4602 SYCAMORE AVE
44101521 - ST SOLID WASTE ADMIN BADGER,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4401 -  ADMINISTRATION,0521 -  1501 W BADGER RD
44110 - ST REFUSE COLLECTION,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4410 -  REFUSE COLLECTION,0000 -  UNDEFINED
44110520 - ST REFUSE COLLECTION SYC,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4410 -  REFUSE COLLECTION,0520 -  4602 SYCAMORE AVE
44110521 - ST REFUSE COLLECTION BADG,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4410 -  REFUSE COLLECTION,0521 -  1501 W BADGER RD
44111 - ST LARGE ITEMS,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4411 -  LARGE ITEMS,0000 -  UNDEFINED
44111520 - ST LARGE ITEMS SYC,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4411 -  LARGE ITEMS,0520 -  4602 SYCAMORE AVE
44111521 - ST LARGE ITEMS BADGER,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4411 -  LARGE ITEMS,0521 -  1501 W BADGER RD
44115 - ST TRANSFER STATION HAULING,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4415 -  TRANSFER STATION HAULING,0000 -  UNDEFINED
44115522 - ST TRANSFER STATION HAULING OL,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4415 -  TRANSFER STATION HAULING,0522 -  121 E OLIN AVE
44116 - ST TRANSFER STATION OTHER,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4416 -  TRANSFER STATION OTHER,0000 -  UNDEFINED
44116522 - ST TRANSFER STATION OTHER OLN,44 -  STREETS,441 -  SOLID WASTE MANAGEMENT,4416 -  TRANSFER STATION OTHER,0522 -  121 E OLIN AVE
44201 - ST RECYCLING ADMIN,44 -  STREETS,442 -  RECYCLING,4401 -  ADMINISTRATION,0000 -  UNDEFINED
44201520 - ST RECYCLING ADMIN SYC,44 -  STREETS,442 -  RECYCLING,4401 -  ADMINISTRATION,0520 -  4602 SYCAMORE AVE
44201521 - ST RECYCLING ADMIN BAD,44 -  STREETS,442 -  RECYCLING,4401 -  ADMINISTRATION,0521 -  1501 W BADGER RD
44201523 - ST RECYCLING ADM SPT,44 -  STREETS,442 -  RECYCLING,4401 -  ADMINISTRATION,0523 -  SOUTH POINT
44220 - ST RECYCLING COLLECTION,44 -  STREETS,442 -  RECYCLING,4420 -  RECYCLING COLLECTION,0000 -  UNDEFINED
44220520 - ST RECYCLING COLLECTION SYC,44 -  STREETS,442 -  RECYCLING,4420 -  RECYCLING COLLECTION,0520 -  4602 SYCAMORE AVE
44220521 - ST RECYCLING COLLECTION BAD,44 -  STREETS,442 -  RECYCLING,4420 -  RECYCLING COLLECTION,0521 -  1501 W BADGER RD
44220523 - ST RECYCLING COLLECTION SPT,44 -  STREETS,442 -  RECYCLING,4420 -  RECYCLING COLLECTION,0523 -  SOUTH POINT
44221 - ST LEAF COLLECTION,44 -  STREETS,442 -  RECYCLING,4421 -  LEAF COLLECTION,0000 -  UNDEFINED
44221520 - ST LEAF COLLECTION SYC,44 -  STREETS,442 -  RECYCLING,4421 -  LEAF COLLECTION,0520 -  4602 SYCAMORE AVE
44221521 - ST LEAF COLLECTION BAD,44 -  STREETS,442 -  RECYCLING,4421 -  LEAF COLLECTION,0521 -  1501 W BADGER RD
44221523 - ST LEAF COLLECTION SPT,44 -  STREETS,442 -  RECYCLING,4421 -  LEAF COLLECTION,0523 -  SOUTH POINT
44222 - ST DROP OFF SITES,44 -  STREETS,442 -  RECYCLING,4422 -  DROP OFF SITES,0000 -  UNDEFINED
44222520 - ST YARD WASTE COLLECTION SYC,44 -  STREETS,442 -  RECYCLING,4422 -  DROP OFF SITES,0520 -  4602 SYCAMORE AVE
44222521 - ST YARD WASTE COLLECTION BAD,44 -  STREETS,442 -  RECYCLING,4422 -  DROP OFF SITES,0521 -  1501 W BADGER RD
44222523 - ST YARD WASTE COLLECTION SPT,44 -  STREETS,442 -  RECYCLING,4422 -  DROP OFF SITES,0523 -  SOUTH POINT
44223 - ST BRUSH COLLECTION,44 -  STREETS,442 -  RECYCLING,4423 -  BRUSH COLLECTION,0000 -  UNDEFINED
44223520 - ST BRUSH COLLECTION SYC,44 -  STREETS,442 -  RECYCLING,4423 -  BRUSH COLLECTION,0520 -  4602 SYCAMORE AVE
44223521 - ST BRUSH COLLECTION BAD,44 -  STREETS,442 -  RECYCLING,4423 -  BRUSH COLLECTION,0521 -  1501 W BADGER RD
44223523 - ST BRUSH COLLECTION SPT,44 -  STREETS,442 -  RECYCLING,4423 -  BRUSH COLLECTION,0523 -  SOUTH POINT
44224 - ST BRUSH PROCESSING,44 -  STREETS,442 -  RECYCLING,4424 -  BRUSH PROCESSING,0000 -  UNDEFINED
44224520 - ST DROP OFF SITES SYC,44 -  STREETS,442 -  RECYCLING,4424 -  BRUSH PROCESSING,0520 -  4602 SYCAMORE AVE
44224521 - ST DROP OFF SITES BAD,44 -  STREETS,442 -  RECYCLING,4424 -  BRUSH PROCESSING,0521 -  1501 W BADGER RD
44224523 - ST DROP OFF SITES SPT,44 -  STREETS,442 -  RECYCLING,4424 -  BRUSH PROCESSING,0523 -  SOUTH POINT
44301 - ST SNOW AND ICE ADMIN,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4401 -  ADMINISTRATION,0000 -  UNDEFINED
44301520 - ST SNOW AND ICE ADMIN SYC,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4401 -  ADMINISTRATION,0520 -  4602 SYCAMORE AVE
44301521 - ST SNOW AND ICE ADMIN BAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4401 -  ADMINISTRATION,0521 -  1501 W BADGER RD
44301523 - ST SNOW AND ICE ADMIN SPT,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4401 -  ADMINISTRATION,0523 -  SOUTH POINT
44330 - ST SNOW PLOW AND SPREAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4430 -  SNOW PLOWING AND SPREADING,0000 -  UNDEFINED
44330520 - ST SNOW PLOW AND SPREAD SYC,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4430 -  SNOW PLOWING AND SPREADING,0520 -  4602 SYCAMORE AVE
44330521 - ST SNOW PLOW AND SPREAD BAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4430 -  SNOW PLOWING AND SPREADING,0521 -  1501 W BADGER RD
44330523 - ST SNOW PLOW AND SPREAD SPT,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4430 -  SNOW PLOWING AND SPREADING,0523 -  SOUTH POINT
44331 - ST SNOW REMOVAL HAULING,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4431 -  SNOW REMOVAL HAULING,0000 -  UNDEFINED
44331520 - ST SNOW REMOVAL HAULING SYC,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4431 -  SNOW REMOVAL HAULING,0520 -  4602 SYCAMORE AVE
44331521 - ST SNOW REMOVAL HAULING BAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4431 -  SNOW REMOVAL HAULING,0521 -  1501 W BADGER RD
44331523 - ST SNOW REMOVAL HAULING SPT,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4431 -  SNOW REMOVAL HAULING,0523 -  SOUTH POINT
44332 - ST SNOW REMOVAL CROSSWALK,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4432 -  SNOW REMOVAL CROSSWALKS,0000 -  UNDEFINED
44332520 - ST SNOW REMOVAL CROSSWALK SYC,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4432 -  SNOW REMOVAL CROSSWALKS,0520 -  4602 SYCAMORE AVE
44332521 - ST SNOW REMOVAL CROSSWALK BAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4432 -  SNOW REMOVAL CROSSWALKS,0521 -  1501 W BADGER RD
44332523 - ST SNOW REMOVAL CROSSWALK SPT,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4432 -  SNOW REMOVAL CROSSWALKS,0523 -  SOUTH POINT
44333 - ST SNOW SAND BARRELS,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4433 -  SNOW SAND BARRELS,0000 -  UNDEFINED
44333520 - ST SNOW SAND BARRELS SYC,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4433 -  SNOW SAND BARRELS,0520 -  4602 SYCAMORE AVE
44333521 - ST SNOW SAND BARRELS BAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4433 -  SNOW SAND BARRELS,0521 -  1501 W BADGER RD
44333523 - ST SNOW SNAD BARRELS SPT,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4433 -  SNOW SAND BARRELS,0523 -  SOUTH POINT
44334 - ST SNOW MISCELLANEOUS,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4434 -  SNOW MISCELLANEOUS,0000 -  UNDEFINED
44334520 - ST SNOW MISCELLANEOUS SYC,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4434 -  SNOW MISCELLANEOUS,0520 -  4602 SYCAMORE AVE
44334521 - ST SNOW MISCELLANEOUS BAD,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4434 -  SNOW MISCELLANEOUS,0521 -  1501 W BADGER RD
44334523 - ST SNOW MISCELLANEOUS SPT,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4434 -  SNOW MISCELLANEOUS,0523 -  SOUTH POINT
44335 - ST SNOW BUS STOPS,44 -  STREETS,443 -  SNOW AND ICE CONTROL,4435 -  BUS STOPS,0000 -  UNDEFINED
44401 - ST STREET SWEEPING ADMIN,44 -  STREETS,444 -  STREET SWEEPING,4401 -  ADMINISTRATION,0000 -  UNDEFINED
44401520 - ST STREET SWEEPING ADMIN SYC,44 -  STREETS,444 -  STREET SWEEPING,4401 -  ADMINISTRATION,0520 -  4602 SYCAMORE AVE
44401521 - ST STREET SWEEPING ADMIN BAD,44 -  STREETS,444 -  STREET SWEEPING,4401 -  ADMINISTRATION,0521 -  1501 W BADGER RD
44440 - ST STREET SWEEPING,44 -  STREETS,444 -  STREET SWEEPING,4440 -  SWEEPING,0000 -  UNDEFINED
44440520 - ST STREET SWEEPING SYC,44 -  STREETS,444 -  STREET SWEEPING,4440 -  SWEEPING,0520 -  4602 SYCAMORE AVE
44440521 - ST STREET SWEEPING BAD,44 -  STREETS,444 -  STREET SWEEPING,4440 -  SWEEPING,0521 -  1501 W BADGER RD
44441 - ST HAND SWEEPING,44 -  STREETS,444 -  STREET SWEEPING,4441 -  HAND SWEEPING,0000 -  UNDEFINED
44441520 - ST HAND SWEEPING SYC,44 -  STREETS,444 -  STREET SWEEPING,4441 -  HAND SWEEPING,0520 -  4602 SYCAMORE AVE
44441521 - ST HAND SWEEPING BAD,44 -  STREETS,444 -  STREET SWEEPING,4441 -  HAND SWEEPING,0521 -  1501 W BADGER RD
44501 - ST STREET REPAIR MAINT ADMIN,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4401 -  ADMINISTRATION,0000 -  UNDEFINED
44501520 - ST STREET REPAIR MAINT ADMIN S,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4401 -  ADMINISTRATION,0520 -  4602 SYCAMORE AVE
44501521 - ST STREET REPAIR MAINT ADMIN B,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4401 -  ADMINISTRATION,0521 -  1501 W BADGER RD
44550 - ST BLACKTOP,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4450 -  BLACKTOP,0000 -  UNDEFINED
44550520 - ST BLACKTOP SYC,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4450 -  BLACKTOP,0520 -  4602 SYCAMORE AVE
44550521 - ST BLACKTOP BAD,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4450 -  BLACKTOP,0521 -  1501 W BADGER RD
44551 - ST STONE,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4451 -  STONE,0000 -  UNDEFINED
44551520 - ST STONE SYC,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4451 -  STONE,0520 -  4602 SYCAMORE AVE
44551521 - ST STONE BAD,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4451 -  STONE,0521 -  1501 W BADGER RD
44552 - ST SEALCOATING,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4452 -  SEALCOATING,0000 -  UNDEFINED
44552520 - ST SEALCOATING SYC,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4452 -  SEALCOATING,0520 -  4602 SYCAMORE AVE
44552521 - ST SEALCOATING BAD,44 -  STREETS,445 -  STREET REPAIR AND MAINTENANCE,4452 -  SEALCOATING,0521 -  1501 W BADGER RD
44601 - ST ROADSIDE CLEANUP ADMIN,44 -  STREETS,446 -  ROADSIDE CLEANUP,4401 -  ADMINISTRATION,0000 -  UNDEFINED
44601520 - ST ROADSIDE CLEANUP ADMIN SYC,44 -  STREETS,446 -  ROADSIDE CLEANUP,4401 -  ADMINISTRATION,0520 -  4602 SYCAMORE AVE
44601521 - ST ROADSIDE CLEANUP ADMIN BAD,44 -  STREETS,446 -  ROADSIDE CLEANUP,4401 -  ADMINISTRATION,0521 -  1501 W BADGER RD
44660 - ST WEED CONTROL,44 -  STREETS,446 -  ROADSIDE CLEANUP,4460 -  WEED CONTROL,0000 -  UNDEFINED
44660520 - ST WEED CONTROL SYC,44 -  STREETS,446 -  ROADSIDE CLEANUP,4460 -  WEED CONTROL,0520 -  4602 SYCAMORE AVE
44660521 - ST WEED CONTROL BAD,44 -  STREETS,446 -  ROADSIDE CLEANUP,4460 -  WEED CONTROL,0521 -  1501 W BADGER RD
44661 - ST STUMP REMOVALS,44 -  STREETS,446 -  ROADSIDE CLEANUP,4461 -  STUMP REMOVAL,0000 -  UNDEFINED
44661520 - ST STUMP REMOVAL SYC,44 -  STREETS,446 -  ROADSIDE CLEANUP,4461 -  STUMP REMOVAL,0520 -  4602 SYCAMORE AVE
44661521 - ST STUMP REMOVAL BAD,44 -  STREETS,446 -  ROADSIDE CLEANUP,4461 -  STUMP REMOVAL,0521 -  1501 W BADGER RD
44662 - ST GRAFFITI REMOVALS,44 -  STREETS,446 -  ROADSIDE CLEANUP,4462 -  GRAFFITI REMOVAL,0000 -  UNDEFINED
44662520 - ST GRAFFITI REMOVAL SYC,44 -  STREETS,446 -  ROADSIDE CLEANUP,4462 -  GRAFFITI REMOVAL,0520 -  4602 SYCAMORE AVE
44662521 - ST GRAFFITI REMOVAL BAD,44 -  STREETS,446 -  ROADSIDE CLEANUP,4462 -  GRAFFITI REMOVAL,0521 -  1501 W BADGER RD
45100 - TE SIGNING,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,0000 -  UNDEFINED,0000 -  UNDEFINED
45101 - TE SIGNING ADMIN,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45102 - TE SIGNING PLAN AND REVIEW,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4502 -  PLAN AND REVIEW,0000 -  UNDEFINED
45103 - TE SIGNING DESIGN,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4503 -  DESIGN,0000 -  UNDEFINED
45104 - TE SIGNING INSTALL OR REMOVE,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4504 -  INSTALATION OR REMOVAL,0000 -  UNDEFINED
45105 - TE SIGNING MAINTENANCE,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4505 -  MAINTENANCE AND REPAIR,0000 -  UNDEFINED
45110 - TE SIGNING TRAFFIC CONTROL,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4510 -  TRAFFIC CONTROL,0000 -  UNDEFINED
45111 - TE SIGNING SPECIAL EVENT,45 -  TRAFFIC ENGINEERING,451 -  SIGNING,4511 -  SPECIAL EVENT,0000 -  UNDEFINED
45200 - TE STLIGHT,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,0000 -  UNDEFINED,0000 -  UNDEFINED
45201 - TE STLIGHT ADMIN,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45202 - TE STLIGHT PLAN AND REVIEW,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,4502 -  PLAN AND REVIEW,0000 -  UNDEFINED
45203 - TE STLIGHT DESIGN,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,4503 -  DESIGN,0000 -  UNDEFINED
45204 - TE STLIGHT INSTALL OR REMOVE,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,4504 -  INSTALATION OR REMOVAL,0000 -  UNDEFINED
45205 - TE STLIGHT MAINTENANCE,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,4505 -  MAINTENANCE AND REPAIR,0000 -  UNDEFINED
45220 - TE STLIGHT ONE CALL,45 -  TRAFFIC ENGINEERING,452 -  STREETLIGHTING,4520 -  ONE CALL,0000 -  UNDEFINED
45300 - TE PAVE MARK,45 -  TRAFFIC ENGINEERING,453 -  PAVEMENT MARKINGS,0000 -  UNDEFINED,0000 -  UNDEFINED
45301 - TE PAVE MARK ADMIN,45 -  TRAFFIC ENGINEERING,453 -  PAVEMENT MARKINGS,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45302 - TE PAVE MARK PLAN AND REVIEW,45 -  TRAFFIC ENGINEERING,453 -  PAVEMENT MARKINGS,4502 -  PLAN AND REVIEW,0000 -  UNDEFINED
45303 - TE PAVE MARK DESIGN,45 -  TRAFFIC ENGINEERING,453 -  PAVEMENT MARKINGS,4503 -  DESIGN,0000 -  UNDEFINED
45304 - TE PAVE MARK INSTALL OR REMOVE,45 -  TRAFFIC ENGINEERING,453 -  PAVEMENT MARKINGS,4504 -  INSTALATION OR REMOVAL,0000 -  UNDEFINED
45305 - TE PAVE MARK MAINTENANCE,45 -  TRAFFIC ENGINEERING,453 -  PAVEMENT MARKINGS,4505 -  MAINTENANCE AND REPAIR,0000 -  UNDEFINED
45400 - TE COMM,45 -  TRAFFIC ENGINEERING,454 -  COMMUNICATIONS,0000 -  UNDEFINED,0000 -  UNDEFINED
45401 - TE COMM ADMIN,45 -  TRAFFIC ENGINEERING,454 -  COMMUNICATIONS,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45402 - TE COMM PLAN AND REVIEW,45 -  TRAFFIC ENGINEERING,454 -  COMMUNICATIONS,4502 -  PLAN AND REVIEW,0000 -  UNDEFINED
45403 - TE COMM DESIGN,45 -  TRAFFIC ENGINEERING,454 -  COMMUNICATIONS,4503 -  DESIGN,0000 -  UNDEFINED
45404 - TE COMM INSTALL OR REMOVE,45 -  TRAFFIC ENGINEERING,454 -  COMMUNICATIONS,4504 -  INSTALATION OR REMOVAL,0000 -  UNDEFINED
45405 - TE COMM MAINTENANCE,45 -  TRAFFIC ENGINEERING,454 -  COMMUNICATIONS,4505 -  MAINTENANCE AND REPAIR,0000 -  UNDEFINED
45500 - TE SIGNALS,45 -  TRAFFIC ENGINEERING,455 -  SIGNALS,0000 -  UNDEFINED,0000 -  UNDEFINED
45501 - TE SIGNALS ADMIN,45 -  TRAFFIC ENGINEERING,455 -  SIGNALS,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45502 - TE SIGNALS PLAN AND REVIEW,45 -  TRAFFIC ENGINEERING,455 -  SIGNALS,4502 -  PLAN AND REVIEW,0000 -  UNDEFINED
45503 - TE SIGNALS DESIGN,45 -  TRAFFIC ENGINEERING,455 -  SIGNALS,4503 -  DESIGN,0000 -  UNDEFINED
45504 - TE SIGNALS INSTALL OR REMOVE,45 -  TRAFFIC ENGINEERING,455 -  SIGNALS,4504 -  INSTALATION OR REMOVAL,0000 -  UNDEFINED
45505 - TE SIGNALS MAINTENANCE,45 -  TRAFFIC ENGINEERING,455 -  SIGNALS,4505 -  MAINTENANCE AND REPAIR,0000 -  UNDEFINED
45600 - TE SERVICES,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
45660 - TE SERVICES TRAFFIC STUDIES,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4560 -  TRAFFIC STUDIES/ANALYSIS,0000 -  UNDEFINED
45661 - TE SERVICES TRAFFIC DATA,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4561 -  TRAFFIC DATA MAINTENANCE,0000 -  UNDEFINED
45662 - TE SERVICES COMPUTERIZED MAP,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4562 -  COMPUTERIZED MAPPING/GIS,0000 -  UNDEFINED
45664 - TE SERVICES PUBLIC PASSNGR VEH,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4564 -  PUBLIC PASSENGER VEHICLES,0000 -  UNDEFINED
45665 - TE SERVICES STREET OCCUPY PERM,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4565 -  STREET OCCUPANCY PERMIT,0000 -  UNDEFINED
45666 - TE SERVICES STREET OPENING PER,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4566 -  STREET OPENING PERMIT,0000 -  UNDEFINED
45667 - TE SERVICES GEOMETRICS,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4567 -  GEOMETRICS,0000 -  UNDEFINED
45668 - TE SERVICES MUFN MAINTENANCE,45 -  TRAFFIC ENGINEERING,456 -  SERVICES,4568 -  MUFN MAINTENANCE,0000 -  UNDEFINED
45701 - TE GEOMETRICS ADMIN,45 -  TRAFFIC ENGINEERING,457 -  GEOMETRICS,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45702 - TE GEOMETRICS PLAN AND REVIEW,45 -  TRAFFIC ENGINEERING,457 -  GEOMETRICS,4502 -  PLAN AND REVIEW,0000 -  UNDEFINED
45703 - TE GEOMETRICS DESIGN,45 -  TRAFFIC ENGINEERING,457 -  GEOMETRICS,4503 -  DESIGN,0000 -  UNDEFINED
45800 - TE BICYCLE AND PEDESTRIAN SVCS,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
45801 - TE PED BIKE ADMIN,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4501 -  ADMINISTRATION,0000 -  UNDEFINED
45803 - TE PED BIKE DESIGN,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4503 -  DESIGN,0000 -  UNDEFINED
